"plot","coldate","taxa","count","no.intersections","perc.cover","location","block","treatment","year"
"B1C",2013-07-25,"ACMI",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"BAAL",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"BENA",5,25,0.2,"Border",1,"Control",2013
"B1C",2013-07-25,"BEPU",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"BIVI",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"CAVU",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"EMNI",1,25,0.04,"Border",1,"Control",2013
"B1C",2013-07-25,"EQUI",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"GAVE",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"GRASS",2,25,0.08,"Border",1,"Control",2013
"B1C",2013-07-25,"JUCO",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"LICH",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"LUNO",5,25,0.2,"Border",1,"Control",2013
"B1C",2013-07-25,"MOSS",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"BARE",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"RASP",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"SALA",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"SAPH",4,25,0.16,"Border",1,"Control",2013
"B1C",2013-07-25,"SIAC",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"TARA",0,25,0,"Border",1,"Control",2013
"B1C",2013-07-25,"VAUL",8,25,0.32,"Border",1,"Control",2013
"B1C",2014-07-21,"ACMI",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"BAAL",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"BENA",5,36,0.138888888888889,"Border",1,"Control",2014
"B1C",2014-07-21,"BEPU",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"BIVI",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"CAVU",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"EMNI",3,36,0.0833333333333333,"Border",1,"Control",2014
"B1C",2014-07-21,"EQUI",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"GAVE",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"GRASS",2,36,0.0555555555555556,"Border",1,"Control",2014
"B1C",2014-07-21,"JUCO",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"LICH",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"LUNO",12,36,0.333333333333333,"Border",1,"Control",2014
"B1C",2014-07-21,"MOSS",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"BARE",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"RASP",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"SALA",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"SAPH",4,36,0.111111111111111,"Border",1,"Control",2014
"B1C",2014-07-21,"SIAC",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"TARA",0,36,0,"Border",1,"Control",2014
"B1C",2014-07-21,"VAUL",10,36,0.277777777777778,"Border",1,"Control",2014
"B1C",2016-07-18,"ACMI",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"BAAL",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"BENA",6,36,0.166666666666667,"Border",1,"Control",2016
"B1C",2016-07-18,"BEPU",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"BIVI",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"CAVU",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"EMNI",2,36,0.0555555555555556,"Border",1,"Control",2016
"B1C",2016-07-18,"EQUI",2,36,0.0555555555555556,"Border",1,"Control",2016
"B1C",2016-07-18,"GAVE",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"GRASS",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"JUCO",2,36,0.0555555555555556,"Border",1,"Control",2016
"B1C",2016-07-18,"LICH",0,36,0,"Border",1,"Control",2016
