"plot","coldate","taxa","count","location","block","treatment","year"
"H1M",2014-07-21,"clmb",2,"Heath",1,"Midges",2014
"H1C",2014-07-21,"clmb",2,"Heath",1,"Control",2014
"H1K",2014-07-21,"clmb",5,"Heath",1,"KNO3",2014
"H2M",2014-07-21,"clmb",3,"Heath",2,"Midges",2014
"H2C",2014-07-21,"clmb",1,"Heath",2,"Control",2014
"H2K",2014-07-21,"clmb",3,"Heath",2,"KNO3",2014
"H3M",2014-07-21,"clmb",10,"Heath",3,"Midges",2014
"H3C",2014-07-21,"clmb",10,"Heath",3,"Control",2014
"H3K",2014-07-21,"clmb",3,"Heath",3,"KNO3",2014
"H4M",2014-07-21,"clmb",5,"Heath",4,"Midges",2014
"H4C",2014-07-21,"clmb",0,"Heath",4,"Control",2014
"H4K",2014-07-21,"clmb",NA,"Heath",4,"KNO3",2014
"B1M",2014-07-21,"clmb",3,"Border",1,"Midges",2014
"B1C",2014-07-21,"clmb",1,"Border",1,"Control",2014
"B1K",2014-07-21,"clmb",11,"Border",1,"KNO3",2014
"B2M",2014-07-21,"clmb",12,"Border",2,"Midges",2014
"B2C",2014-07-21,"clmb",7,"Border",2,"Control",2014
"B2K",2014-07-21,"clmb",16,"Border",2,"KNO3",2014
"B3M",2014-07-21,"clmb",2,"Border",3,"Midges",2014
"B3C",2014-07-21,"clmb",1,"Border",3,"Control",2014
"B3K",2014-07-21,"clmb",1,"Border",3,"KNO3",2014
"B4M",2014-07-21,"clmb",1,"Border",4,"Midges",2014
"B4C",2014-07-21,"clmb",10,"Border",4,"Control",2014
"B4K",2014-07-21,"clmb",NA,"Border",4,"KNO3",2014
"L1",2014-07-21,"clmb",5,"Lupine",NA,"Lupine",2014
"L2",2014-07-21,"clmb",3,"Lupine",NA,"Lupine",2014
"L3",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L4",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L5",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L6",2014-07-21,"clmb",8,"Lupine",NA,"Lupine",2014
"L7",2014-07-21,"clmb",0,"Lupine",NA,"Lupine",2014
"L8",2014-07-21,"clmb",0,"Lupine",NA,"Lupine",2014
"H1M",2014-07-21,"acar",17,"Heath",1,"Midges",2014
"H1C",2014-07-21,"acar",1,"Heath",1,"Control",2014
"H1K",2014-07-21,"acar",9,"Heath",1,"KNO3",2014
"H2M",2014-07-21,"acar",18,"Heath",2,"Midges",2014
"H2C",2014-07-21,"acar",7,"Heath",2,"Control",2014
"H2K",2014-07-21,"acar",20,"Heath",2,"KNO3",2014
"H3M",2014-07-21,"acar",15,"Heath",3,"Midges",2014
"H3C",2014-07-21,"acar",15,"Heath",3,"Control",2014
"H3K",2014-07-21,"acar",5,"Heath",3,"KNO3",2014
"H4M",2014-07-21,"acar",16,"Heath",4,"Midges",2014
"H4C",2014-07-21,"acar",4,"Heath",4,"Control",2014
"H4K",2014-07-21,"acar",NA,"Heath",4,"KNO3",2014
"B1M",2014-07-21,"acar",22,"Border",1,"Midges",2014
"B1C",2014-07-21,"acar",29,"Border",1,"Control",2014
"B1K",2014-07-21,"acar",27,"Border",1,"KNO3",2014
"B2M",2014-07-21,"acar",21,"Border",2,"Midges",2014
"B2C",2014-07-21,"acar",11,"Border",2,"Control",2014
"B2K",2014-07-21,"acar",12,"Border",2,"KNO3",2014
"B3M",2014-07-21,"acar",20,"Border",3,"Midges",2014
"B3C",2014-07-21,"acar",24,"Border",3,"Control",2014
